#virProtID	NCBI_ID
803	YP_089669.1
804	YP_089668.1
805	YP_089671.1
806	YP_004382742.1
807	YP_004382745.1
808	YP_004382743.1
809	YP_004382744.1
810	AGO21655.1
811	AGO21657.1
812	AGO21655.1
813	AGO21656.1
814	NP_941974.1
815	NP_941976.1
816	NP_941975.1
817	YP_004928152.1
818	CAA73491.1
819	CAA73489.1
820	CAA73490.1
821	CAA73488.1
822	YP_001109581.1
823	YP_001109584.1
824	YP_001109583.1
825	YP_001109582.1
826	YP_003587903.1
827	YP_003587905.1
828	YP_003587902.1
829	YP_003587904.1
830	YP_003587850.1
831	YP_003587852.1
832	YP_003587851.1
833	YP_003587853.1
834	YP_003587846.1
835	YP_003587847.1
836	YP_003587849.1
837	YP_003587848.1
838	YP_003587845.1
839	YP_003587842.1
840	YP_003587844.1
841	YP_003587843.1
842	YP_003587838.1
843	YP_003587839.1
844	YP_003587841.1
845	YP_003587840.1
846	YP_003587906.1
847	YP_003587909.1
848	YP_003587907.1
849	YP_003587908.1
850	YP_003587875.1
851	YP_003587877.1
852	YP_003587876.1
853	YP_003587878.1
854	YP_004928154.1
855	NP_942586.1
856	YP_004928153.1
857	NP_942124.1
858	YP_001956725.2
859	YP_001956721.2
860	YP_001956723.2
861	YP_001956722.2
862	YP_001956724.2
863	YP_238298.1
864	YP_238301.1
865	YP_238297.1
866	YP_238299.1
867	YP_238300.1
868	YP_002916061.1
869	YP_002916063.1
870	YP_002916059.1
871	YP_002916060.1
872	YP_002916062.1
873	YP_007641379.1
874	YP_007641378.1
875	YP_007641381.1
876	YP_007641380.1
877	YP_007641377.1
878	YP_007641402.1
879	YP_007641406.1
880	YP_007641403.1
881	YP_007641405.1
882	YP_007641404.1
883	YP_001961123.1
884	YP_001961121.1
885	YP_001961124.1
886	YP_001961122.1
887	YP_001961125.1
888	NP_941978.1
889	NP_941978.1
890	NP_941978.1
891	NP_941977.1
892	NP_941982.1
893	YP_007641386.1
894	YP_007641383.1
895	YP_007641382.1
896	YP_007641385.1
897	YP_007641384.1
898	YP_009094374.1
899	YP_009094375.1
900	YP_009094373.1
901	YP_009094376.1
902	YP_009094377.1
903	YP_007641391.1
904	YP_007641388.1
905	YP_007641387.1
906	YP_007641389.1
907	YP_007641390.1
908	NP_478341.1
909	NP_478342.1
910	NP_478340.1
911	NP_478343.1
912	NP_478339.1
913	YP_001285390.1
914	YP_001285392.1
915	YP_001285391.1
916	YP_001285388.1
917	YP_001285389.1
918	YP_001285393.1
919	YP_001285395.1
920	YP_001285397.1
921	YP_001285394.2
922	YP_001285396.1
923	YP_009094487.1
924	YP_009094484.1
925	YP_009094488.1
926	YP_009094485.1
927	YP_009094486.1
928	YP_142351.1
929	YP_142354.1
930	YP_142352.1
931	YP_142353.1
932	YP_142350.1
933	YP_002647036.1
934	YP_002647038.1
935	YP_002647037.1
936	YP_002647035.1
937	YP_002647034.1
938	CAA52596.1
939	CAA52597.1
940	CAA52600.1
941	CAA52599.1
942	CAA52598.1
943	CAA24461.1
944	CAA24461.1
945	CAA24461.1
946	CAA24461.1
947	CAA24461.1
948	AFN43006.1
949	AFN43008.1
950	AFN43007.1
951	AFN43005.1
952	AFN43004.1
953	YP_007684354.1
954	YP_007684357.1
955	YP_007684355.1
956	YP_007684356.1
957	YP_007684353.1
958	YP_003848918.1
959	YP_003848917.1
960	YP_003848916.1
961	YP_003848919.1
962	YP_003848920.1
963	YP_003848922.1
964	YP_003848925.1
965	YP_003848924.1
966	YP_003848921.1
967	YP_003848923.1
968	YP_004243705.1
969	YP_004243704.1
970	YP_004243707.1
971	YP_004243703.1
972	YP_004243706.1
973	CBZ41797.1
974	CBZ41798.1
975	CBZ41799.1
976	CBZ41796.1
977	CBZ41800.1
978	YP_001111257.1
979	YP_001111258.1
980	YP_001111260.1
981	YP_001111256.1
982	YP_001111259.1
983	ABN09926.1
984	ABN09924.1
985	ABN09925.1
986	ABN09923.1
987	ABN09922.1
988	YP_006495790.1
989	YP_006495788.1
990	YP_006495787.1
991	YP_006495789.1
992	YP_006495786.1
993	AFS65333.1
994	AFS65334.1
995	AFS65331.1
996	AFS65332.1
997	AFS65330.1
998	YP_003800006.1
999	YP_003800005.1
1000	YP_003800008.1
1001	YP_003800007.1
1002	YP_003800004.1
1003	YP_001285487.1
1004	YP_001285485.1
1005	YP_001285486.1
1006	YP_001285489.1
1007	YP_001285488.1
1008	NP_056794.1
1009	NP_056797.1
1010	NP_056793.1
1011	NP_056795.1
1012	NP_056796.1
1013	NP_062884.1
1014	NP_062884.1
1015	NP_062883.2
1016	NP_062884.1
1017	NP_062883.2
1018	NP_941979.1
1019	NP_941973.1
1020	NP_941980.1
1021	NP_941981.1
1022	NP_941979.1
1023	YP_003770.1
1024	YP_003769.1
1025	YP_003766.2
1026	YP_003767.1
1027	YP_003771.1
1028	YP_003768.1
1029	NP_694865.1
1030	NP_694868.1
1031	NP_694866.1
1032	NP_694867.1
1033	NP_694864.1
1034	NP_694863.1
1035	NP_056804.1
1036	NP_056803.1
1037	NP_056802.1
1038	NP_056806.1
1039	NP_597745.1
1040	NP_056805.1
1041	NP_899216.1
1042	NP_899218.1
1043	NP_899218.1
1044	NP_899219.1
1045	NP_899217.1
1046	NP_899218.1
1047	YP_009091826.1
1048	YP_009091828.1
1049	YP_009091830.1
1050	YP_009091829.1
1051	YP_009091825.1
1052	YP_009091827.1
1053	YP_009163894.1
1054	YP_009163893.1
1055	YP_009163892.1
1056	YP_009163896.1
1057	YP_009163895.1
1058	YP_009163891.1
1059	YP_656502.1
1060	YP_656501.1
1061	YP_656503.1
1062	YP_656500.1
1063	YP_656499.1
1064	YP_656504.1
1065	YP_656498.1
1066	YP_656496.1
1067	YP_656497.1
1068	YP_656495.1
1069	YP_656494.1
1070	YP_656493.1
1071	CAW42264.1
1072	CAW42268.1
1073	CAW42266.1
1074	CAW42259.1
1075	CAW42263.1
1076	CAW42261.1
1077	ACV30147.1
1078	ACV30142.1
1079	ACV30144.1
1080	ACV30146.1
1081	ACV30145.1
1082	ACV30143.1
1083	ACV30153.1
1084	ACV30149.1
1085	ACV30152.1
1086	ACV30148.1
1087	ACV30150.1
1088	ACV30151.1
1089	CAA52497.1
1090	CAA52499.1
1091	CAA52501.1
1092	CAA52500.1
1093	CAA52498.1
1094	CAA52496.1
1095	CAA52506.1
1096	CAA52510.1
1097	CAA52507.1
1098	CAA52509.1
1099	CAA52511.1
1100	CAA52508.1
1101	AEA35075.1
1102	AEA35074.1
1103	AEA35076.1
1104	AEA35078.1
1105	AEA35073.1
1106	AEA35077.1
1107	YP_009175017.1
1108	YP_009175014.1
1109	YP_009175015.1
1110	YP_009175016.1
1111	YP_009175018.1
1112	YP_009175019.1
1113	YP_006908977.1
1114	YP_006908973.1
1115	YP_006908972.1
1116	YP_006908975.1
1117	YP_006908976.1
1118	YP_006908974.1
1119	YP_008828148.1
1120	YP_008828146.1
1121	YP_008828149.1
1122	YP_008828147.1
1123	YP_008828150.1
1124	YP_008828145.1
1125	CAA52516.1
1126	CAA52515.1
1127	CAA52514.1
1128	CAA52517.1
1129	CAA52513.1
1130	CAA52512.1
1131	AHC00352.1
1132	AHC00354.1
1133	AHC00353.1
1134	AHC00355.1
1135	AHC00351.1
1136	AHC00356.1
1137	YP_008433330.1
1138	YP_008433331.1
1139	YP_008433328.1
1140	YP_008433329.1
1141	YP_008433327.1
1142	YP_008433326.1
1143	CAA52521.1
1144	CAA52523.1
1145	CAA52520.1
1146	CAA52522.1
1147	CAA52519.1
1148	CAA52518.1
1149	CAA52525.1
1150	CAA52526.1
1151	CAA52528.1
1152	CAA52527.1
1153	CAA52524.1
1154	CAA52529.1
1155	NP_041782.1
1156	NP_041783.1
1157	NP_041787.1
1158	NP_041786.1
1159	NP_041785.1
1160	NP_041784.1
1161	CAA52544.1
1162	CAA52546.1
1163	CAA52548.1
1164	CAA52545.1
1165	CAA52547.1
1166	CAA52543.1
1167	NP_041803.1
1168	NP_041806.1
1169	NP_041804.1
1170	NP_041801.1
1171	NP_041805.1
1172	NP_041802.1
1173	NP_041810.1
1174	NP_041812.1
1175	NP_041808.1
1176	NP_041807.1
1177	NP_041811.1
1178	NP_041809.1
1179	CAA52572.1
1180	CAA52567.1
1181	CAA52570.1
1182	CAA52569.1
1183	CAA52571.1
1184	CAA52568.1
1185	CAA52578.1
1186	CAA52574.1
1187	CAA52576.1
1188	CAA52577.1
1189	CAA52575.1
1190	CAA52573.1
1191	NP_041837.1
1192	NP_041834.1
1193	NP_041836.1
1194	NP_041835.1
1195	NP_041833.1
1196	NP_041832.1
1197	CAA52590.1
1198	CAA52586.1
1199	CAA52588.1
1200	CAA52587.1
1201	CAA52589.1
1202	CAA52585.1
1203	NP_041857.1
1204	NP_041856.1
1205	NP_041858.1
1206	NP_041855.1
1207	NP_041859.1
1208	NP_041854.1
1209	CAW42231.1
1210	CAW42233.1
1211	CAW42228.1
1212	CAW42225.1
1213	CAW42230.1
1214	CAW42227.1
1215	YP_009094055.1
1216	YP_009094058.1
1217	YP_009094057.1
1218	YP_009094059.1
1219	YP_009094060.1
1220	YP_009094056.1
1221	YP_004928148.1
1222	YP_004928149.1
1223	YP_004928147.1
1224	YP_004928144.1
1225	YP_004928145.1
1226	YP_004928146.1
1227	YP_717936.1
1228	YP_717938.1
1229	YP_717941.1
1230	YP_717940.1
1231	YP_717939.1
1232	YP_717937.1
1233	NP_043511.1
1234	NP_043509.1
1235	NP_043512.1
1236	NP_043508.1
1237	NP_043513.1
1238	NP_043510.1
1239	YP_009030019.1
1240	YP_009030018.1
1241	YP_009030021.1
1242	YP_009030022.1
1243	YP_009030023.1
1244	YP_009030020.1
1245	YP_007354884.1
1246	YP_007354883.1
1247	YP_007354885.1
1248	YP_007354887.1
1249	YP_007354882.1
1250	YP_007354886.1
1251	YP_006504094.1
1252	YP_006504094.1
1253	YP_006504091.1
1254	YP_006504093.1
1255	YP_006504092.1
1256	YP_006504094.1
1257	AAZ77660.1
1258	AAZ77656.1
1259	AAZ77657.1
1260	AAZ77658.1
1261	AAZ77661.1
1262	AAZ77659.1
1263	YP_002455785.1
1264	YP_002455786.1
1265	YP_002455788.1
1266	YP_002455789.1
1267	YP_002455784.1
1268	YP_002455787.1
1269	YP_003587868.1
1270	YP_003587869.1
1271	YP_003587864.1
1272	YP_003587865.1
1273	YP_003587866.1
1274	YP_003587867.1
1275	NP_043449.1
1276	NP_043448.2
1277	NP_043446.1
1278	NP_043450.1
1279	NP_043444.1
1280	NP_043445.1
1281	NP_043447.1
1282	NP_077122.1
1283	NP_077117.1
1284	NP_077120.1
1285	NP_077119.1
1286	NP_077116.1
1287	NP_077118.1
1288	NP_077121.1
1289	AAS89766.1
1290	AAS89767.1
1291	AAS89765.1
1292	AAS89769.1
1293	AAS89768.1
1294	AAS89770.1
1295	AAS89771.1
1296	YP_009173868.1
1297	YP_009173867.1
1298	YP_009173871.1
1299	YP_009173866.1
1300	YP_009173857.1
1301	YP_009173869.1
1302	YP_009173870.1
1303	NP_041716.1
1304	YP_003587923.1
1305	NP_041714.1
1306	NP_041713.1
1307	NP_041715.1
1308	NP_041715.1
1309	NP_041712.1
1310	ABE27043.1
1311	ABE27041.1
1312	ABE27042.1
1313	ABE27046.1
1314	ABE27040.1
1315	ABE27045.1
1316	ABE27044.1
1317	ABE27092.1
1318	ABE27095.1
1319	ABE27093.1
1320	ABE27090.1
1321	ABE27091.1
1322	ABE27089.1
1323	ABE27094.1
1324	AEW11938.1
1325	AEW11936.1
