#virusTaxid	nucleic1	nucleic2	order	family	subfamily	genus	specie	name
1458701	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.2	Norovirus Hu/GII.2/HS255/2011/USA
863240	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.3	Norovirus Hu/GII.3/CBNU1/2006/KOR
1260941	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.3	Norovirus Hu/GII.3/HK71/1978/CHN
1406148	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.3	Norovirus Hu/GII.3/Jingzhou/2013402/CHN
1325533	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/20199/2009/VNM
1195791	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/5M/USA/2004
1241966	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/Berowra/NSW767L/2012/AU
1241967	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/Caringbah/NSW409G/2011/AU
660656	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/CHDC2094/1974/US
660657	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/CHDC3967/1988/US
660658	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/CHDC4108/1987/US
660659	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/CHDC4871/1977/US
1184497	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/CHDC5191/1974/USA
1241968	RNA	(+)ssRNA	nan	Caliciviridae	nan	Norovirus	Norovirus GII.4	Norovirus Hu/GII.4/Doonside/NSW536I/2011/AU
