#virusTaxid	nucleic1	nucleic2	order	family	subfamily	genus	specie	name
370128	RNA	(-)ssRNA	nan	Orthomyxoviridae	nan	Influenzavirus A	nan	Influenza A virus (A/Northern Territory/60/1968(H3N2))
211044	RNA	(-)ssRNA	nan	Orthomyxoviridae	nan	Influenzavirus A	nan	Influenza A virus (A/Puerto Rico/8/1934(H1N1))
1332244	RNA	(-)ssRNA	nan	Orthomyxoviridae	nan	Influenzavirus A	nan	Influenza A virus (A/Shanghai/02/2013(H7N9))
11520	RNA	(-)ssRNA	nan	Orthomyxoviridae	nan	Influenzavirus B	nan	Influenza B virus
98832	RNA	(-)ssRNA	nan	Orthomyxoviridae	nan	Influenzavirus B	Influenza B virus	Influenza B virus (B/Memphis/12/97)
11553	RNA	(-)ssRNA	nan	Orthomyxoviridae	nan	Influenzavirus C	Influenza C virus	Influenza C virus (C/Ann Arbor/1/50)
290008	RNA	(-)ssRNA	Mononegavirales	Rhabdoviridae	nan	Vesiculovirus	nan	Isfahan virus
11072	RNA	(+)ssRNA	nan	Flaviviridae	nan	Flavivirus	Japanese encephalitis virus group	Japanese encephalitis virus
10632	DNA	dsDNA	nan	Polyomaviridae	nan	Polyomavirus	nan	JC polyomavirus
11619	RNA	(-)ssRNA	nan	Arenaviridae	nan	Mammarenavirus	nan	Junin mammarenavirus
864699	RNA	(-)ssRNA	Mononegavirales	Rhabdoviridae	nan	Vesiculovirus	unclassified Vesiculovirus	Jurona virus
64287	RNA	(+)ssRNA	nan	Flaviviridae	nan	Flavivirus	Royal Farm virus	Karshi virus
423445	DNA	dsDNA	nan	Polyomaviridae	nan	Polyomavirus	unclassified Polyomavirus	KI polyomavirus
423447	DNA	dsDNA	nan	Polyomaviridae	nan	Polyomavirus	KI polyomavirus	KI polyomavirus Stockholm 350
33743	RNA	(+)ssRNA	nan	Flaviviridae	nan	Flavivirus	tick-borne encephalitis virus group	Kyasanur forest disease virus
11577	RNA	(-)ssRNA	nan	Bunyaviridae	nan	Orthobunyavirus	California encephalitis virus	La Crosse virus
38766	RNA	(-)ssRNA	Mononegavirales	Rhabdoviridae	nan	Lyssavirus	nan	Lagos bat virus
