2016-11-17 12:58:00 - __main__ - INFO: Processing UniProt entry 75: Q5QJU3
2016-11-17 12:58:01 - __main__ - INFO: Processing UniProt entry 76: P22303
2016-11-17 12:58:02 - __main__ - INFO: Processing UniProt entry 77: Q07001
2016-11-17 12:58:03 - __main__ - INFO: Processing UniProt entry 78: Q9NPJ3
2016-11-17 12:58:04 - __main__ - INFO: Processing UniProt entry 79: P33121
2016-11-17 12:58:05 - __main__ - INFO: Processing UniProt entry 80: Q9ULC5
2016-11-17 12:58:06 - __main__ - INFO: Processing UniProt entry 81: Q6NUN0
2016-11-17 12:58:07 - __main__ - INFO: Processing UniProt entry 82: Q9H2F3
2016-11-17 12:58:08 - __main__ - INFO: Processing UniProt entry 83: Q7L8J4
2016-11-17 12:58:08 - __main__ - INFO: Processing UniProt entry 84: P29372
2016-11-17 12:58:09 - __main__ - INFO: Processing UniProt entry 85: Q13541
2016-11-17 12:58:11 - __main__ - INFO: Processing UniProt entry 86: P28221
2016-11-17 12:58:16 - __main__ - INFO: Processing UniProt entry 87: P28566
2016-11-17 12:58:17 - __main__ - INFO: Processing UniProt entry 88: P46098
2016-11-17 12:58:19 - __main__ - INFO: Processing UniProt entry 89: O95264
2016-11-17 12:58:24 - __main__ - INFO: Processing UniProt entry 90: Q70Z44
2016-11-17 12:58:31 - __main__ - INFO: Processing UniProt entry 91: P47898
2016-11-17 12:58:31 - __main__ - INFO: Processing UniProt entry 92: P50406
2016-11-17 12:58:32 - __main__ - INFO: Processing UniProt entry 93: Q96P26
2016-11-17 12:58:33 - __main__ - INFO: Processing UniProt entry 94: P36639
2016-11-17 12:58:34 - __main__ - INFO: Processing UniProt entry 95: Q676U5
2016-11-17 12:58:50 - __main__ - INFO: Processing UniProt entry 96: P02763
2016-11-17 12:58:51 - __main__ - INFO: Processing UniProt entry 97: Q5TYW2
2016-11-17 12:58:58 - __main__ - INFO: Processing UniProt entry 98: P02750
2016-11-17 12:59:13 - __main__ - INFO: Processing UniProt entry 99: A8K2U0
2016-11-17 12:59:19 - __main__ - INFO: Processing UniProt entry 100: Q5T5F5
2016-11-17 12:59:20 - __main__ - INFO: Processing UniProt entry 101: P29274
2016-11-17 12:59:26 - __main__ - INFO: Processing UniProt entry 102: P54619
2016-11-17 12:59:27 - __main__ - INFO: Processing UniProt entry 103: Q13131
2016-11-17 12:59:33 - __main__ - INFO: Processing UniProt entry 104: Q9UDR5
2016-11-17 12:59:34 - __main__ - INFO: Processing UniProt entry 105: Q96GS6
2016-11-17 12:59:40 - __main__ - INFO: Processing UniProt entry 106: Q96AK3
2016-11-17 12:59:46 - __main__ - INFO: Processing UniProt entry 107: O95477
2016-11-17 12:59:47 - __main__ - INFO: Processing UniProt entry 108: Q8IZY2
2016-11-17 12:59:48 - __main__ - INFO: Processing UniProt entry 109: Q8IUA7
2016-11-17 12:59:54 - __main__ - INFO: Processing UniProt entry 110: Q86UK0
2016-11-17 12:59:56 - __main__ - INFO: Processing UniProt entry 111: Q9NUT2
2016-11-17 12:59:57 - __main__ - INFO: Processing UniProt entry 112: Q9NP78
2016-11-17 13:00:03 - __main__ - INFO: Processing UniProt entry 113: Q9H172
2016-11-17 13:00:09 - __main__ - INFO: Processing UniProt entry 114: Q9H222
2016-11-17 13:00:14 - __main__ - INFO: Processing UniProt entry 115: P08910
2016-11-17 13:00:15 - __main__ - INFO: Processing UniProt entry 116: Q7L211
2016-11-17 13:00:17 - __main__ - INFO: Processing UniProt entry 117: O95870
2016-11-17 13:00:22 - __main__ - INFO: Processing UniProt entry 118: Q9NYB9
2016-11-17 13:00:29 - __main__ - INFO: Processing UniProt entry 119: P00519
2016-11-17 13:00:46 - __main__ - INFO: Processing UniProt entry 120: Q13085
2016-11-17 13:00:52 - __main__ - INFO: Processing UniProt entry 121: P28330
2016-11-17 13:00:53 - __main__ - INFO: Processing UniProt entry 122: P11310
2016-11-17 13:00:54 - __main__ - INFO: Processing UniProt entry 123: Q96P50
2016-11-17 13:01:00 - __main__ - INFO: Processing UniProt entry 124: Q96GR2
2016-11-17 13:01:06 - __main__ - INFO: Processing UniProt entry 125: P07108
2016-11-17 13:01:10 - __main__ - INFO: Processing UniProt entry 126: Q8TDN7
2016-11-17 13:01:16 - __main__ - INFO: Processing UniProt entry 127: Q9NUN7
2016-11-17 13:01:22 - __main__ - INFO: Processing UniProt entry 128: P30532
2016-11-17 13:01:23 - __main__ - INFO: Processing UniProt entry 129: Q07912
2016-11-17 13:01:29 - __main__ - INFO: Processing UniProt entry 130: Q15173
2016-11-17 13:01:30 - __main__ - INFO: Processing UniProt entry 131: Q66LE6
2016-11-17 13:01:31 - __main__ - INFO: Processing UniProt entry 132: P04229
2016-11-17 13:01:37 - __main__ - INFO: Processing UniProt entry 133: Q30134
2016-11-17 13:01:38 - __main__ - INFO: Processing UniProt entry 134: P20848
2016-11-17 13:01:39 - __main__ - INFO: Processing UniProt entry 135: P01009
2016-11-17 13:01:45 - __main__ - INFO: Processing UniProt entry 136: Q4UJ75
2016-11-17 13:01:46 - __main__ - INFO: Processing UniProt entry 137: Q96IX9
2016-11-17 13:01:55 - __main__ - INFO: Processing UniProt entry 138: P01023
2016-11-17 13:01:55 - __main__ - INFO: Processing UniProt entry 139: Q8N5Z0
2016-11-17 13:02:02 - __main__ - INFO: Processing UniProt entry 140: Q7RTV5
2016-11-17 13:02:02 - __main__ - INFO: Processing UniProt entry 141: P54646
2016-11-17 13:02:09 - __main__ - INFO: Processing UniProt entry 142: Q4LEZ3
2016-11-17 13:02:10 - __main__ - INFO: Processing UniProt entry 143: Q9BTE6
2016-11-17 13:02:11 - __main__ - INFO: Processing UniProt entry 144: Q7Z5R6
